product_name,product_category,product_key
4K Monitor,Electronics,0
Adjustable Dumbbells,Sporting Goods,1
Air Fryer,Home & Kitchen,2
Beard Trimmer,Beauty & Personal Care,3
Blender Pro,Home & Kitchen,4
Bluetooth Speaker,Electronics,5
Camping Tent 2P,Sporting Goods,6
Cast Iron Skillet,Home & Kitchen,7
Coffee Grinder,Home & Kitchen,8
Cotton Tee 3-Pack,Apparel,9
Desk Organizer,Office Supplies,10
Electric Kettle,Home & Kitchen,11
Electric Toothbrush,Beauty & Personal Care,12
Ergonomic Chair,Office Supplies,13
Facial Cleanser,Beauty & Personal Care,14
Hair Dryer,Beauty & Personal Care,15
Insulated Water Bottle,Sporting Goods,16
Knife Set,Home & Kitchen,17
Laptop Stand,Electronics,18
Leather Belt,Apparel,19
Mechanical Keyboard,Electronics,20
Merino Wool Sweater,Apparel,21
Monitor Arm,Office Supplies,22
Notebook 5-Pack,Office Supplies,23
Portable SSD,Electronics,24
Rain Shell,Apparel,25
Resistance Bands Set,Sporting Goods,26
Running Jacket,Apparel,27
Skincare Set,Beauty & Personal Care,28
Slim Fit Chinos,Apparel,29
Smartwatch,Electronics,30
Stand Mixer,Home & Kitchen,31
Standing Desk,Office Supplies,32
Trail Running Shoes,Sporting Goods,33
USB-C Hub,Electronics,34
Vacuum Sealer,Home & Kitchen,35
Webcam HD,Electronics,36
Wireless Earbuds,Electronics,37
Wireless Mouse,Electronics,38
Wireless Presenter,Office Supplies,39
Wool Beanie,Apparel,40
Yoga Mat,Sporting Goods,41
